"team","yusag_coeff","rank"
"Arkansas",5.59734302819286,1
"Vanderbilt",5.532914938941,2
"Texas Tech",5.36216505856707,3
"Oregon St.",5.34910774077363,4
"Kentucky",5.29022246214627,5
"North Carolina",5.23910163990739,6
"Southern Miss.",4.9845056931637,7
"Stanford",4.61929452274655,8
"LSU",4.52487592515883,9
"Louisville",4.50601193953182,10
"Texas A&M",4.42759220130166,11
"Arizona",4.35700409221716,12
"Florida St.",4.25525830138334,13
"Florida",4.1872335478756,14
"UCLA",4.18631440492397,15
"Clemson",3.83408882501736,16
"Auburn",3.745014976811,17
"Ole Miss",3.73762100710243,18
"Missouri",3.678735840286,19
"NC State",3.66989615951985,20
"TCU",3.57330160214583,21
"Sam Houston St.",3.56914662180284,22
"Texas",3.55907645196949,23
"Coastal Caro.",3.54340993463176,24
"Louisiana Tech",3.51316293825713,25
"South Ala.",3.42630598987696,26
"East Carolina",3.35435706544527,27
"Cal St. Fullerton",3.33354869811635,28
"Missouri St.",3.26934427093701,29
"South Carolina",3.2585957045044,30
"UCF",3.14744601539948,31
"Baylor",3.11300127633435,32
"South Fla.",3.08493768193436,33
"Virginia",3.08466395931199,34
"San Diego St.",3.06449268095235,35
"Fla. Atlantic",3.02991754155408,36
"Houston",2.86569323912097,37
"Wake Forest",2.85501320971604,38
"Mississippi St.",2.81367062921222,39
"Gonzaga",2.78406276084697,40
"Alabama",2.74473046199056,41
"California",2.7134368504961,42
"BYU",2.71284801586101,43
"Long Beach St.",2.70854117825728,44
"St. John's (NY)",2.70743777907848,45
"New Mexico St.",2.56216028534904,46
"Tennessee Tech",2.54455745063051,47
"DBU",2.52365788149304,48
"Charlotte",2.51146102825221,49
"Indiana",2.49443135193954,50
"Loyola Marymount",2.48629660812788,51
"Washington",2.43745635985044,52
"New Mexico",2.41056360057579,53
"Southeastern La.",2.40631345598049,54
"Saint Mary's (CA)",2.39981256031444,55
"Oregon",2.38218649451502,56
"Nebraska",2.33001298530177,57
"Georgia",2.31391987552819,58
"Duke",2.20537458417917,59
"Minnesota",2.2035489776865,60
"Fresno St.",2.18399870744606,61
"Michigan",2.15169602331514,62
"FGCU",2.1483712256316,63
"Rice",2.13875169823763,64
"Oral Roberts",2.13631662341056,65
"West Virginia",2.09881737030082,66
"San Francisco",2.0734944423776,67
"Georgia Tech",2.05153855135101,68
"San Diego",2.03479589794622,69
"Wichita St.",2.03401318637774,70
"Louisiana",2.03251077870482,71
"UTSA",2.02709951546588,72
"Illinois",1.95889151659387,73
"Utah",1.94435819185614,74
"Oklahoma",1.88533370331473,75
"Indiana St.",1.87828689880824,76
"UNLV",1.86352348799318,77
"Troy",1.85336969577376,78
"Hawaii",1.85217524473943,79
"Michigan St.",1.84631465001853,80
"McNeese",1.8092735860947,81
"UConn",1.70721089090254,82
"Texas St.",1.68770580648816,83
"Ill.-Chicago",1.63191977161121,84
"Kansas St.",1.57613269363683,85
"UNCG",1.57398897457946,86
"Oklahoma St.",1.53944511977043,87
"Kent St.",1.52803651263011,88
"Miami (FL)",1.51029083322204,89
"Arizona St.",1.50341050373929,90
"Old Dominion",1.50290468477023,91
"Mercer",1.5017100784853,92
"Liberty",1.49553388621482,93
"Cal Poly",1.4847292855225,94
"Tennessee",1.47651416986826,95
"Ohio St.",1.44263983378437,96
"Wright St.",1.41959151579743,97
"CSUN",1.30857658778292,98
"Col. of Charleston",1.2966228695055,99
"Pepperdine",1.2603417347721,100
"Ga. Southern",1.25034998277654,101
"UC Irvine",1.22968449761358,102
"Maryland",1.16546004574468,103
"UC Riverside",1.11817349869258,104
"Southern California",1.09920152736575,105
"UC Santa Barbara",1.09761337876424,106
"Nevada",1.09107170259432,107
"Pittsburgh",1.04217055772424,108
"Central Ark.",1.03417107968088,109
"Iowa",1.031897703497,110
"Grand Canyon",0.963043430403267,111
"UT Arlington",0.960826143488545,112
"Stetson",0.913591460595876,113
"UNCW",0.890145926107337,114
"Xavier",0.847697675867524,115
"Virginia Tech",0.843853045530541,116
"New Orleans",0.837240362281848,117
"Sacramento St.",0.826916601015901,118
"Tulane",0.826658714026085,119
"Jacksonville",0.803794067791064,120
"North Florida",0.791441551908193,121
"Notre Dame",0.779711648650398,122
"FIU",0.778466374054533,123
"Kansas",0.764202033760391,124
"Furman",0.711690340812181,125
"Jacksonville St.",0.698043426762504,126
"UC Davis",0.659523767996581,127
"Houston Baptist",0.659465566252417,128
"Cincinnati",0.642502027766755,129
"Illinois St.",0.545850041845878,130
"Purdue",0.534928974306736,131
"Santa Clara",0.458780213360198,132
"Washington St.",0.456142084321857,133
"Delaware",0.449475139095036,134
"ETSU",0.428299272180385,135
"A&M-Corpus Christi",0.417395595381551,136
"Marshall",0.395613107209425,137
"Creighton",0.378203405319774,138
"Memphis",0.374518374074059,139
"Air Force",0.364009012663549,140
"Wofford",0.3417899277461,141
"VCU",0.332339961330746,142
"Boston College",0.328569054892824,143
"Canisius",0.284654740816543,144
"Saint Louis",0.276211292359106,145
"Rutgers",0.263044578742389,146
"Ball St.",0.257982681152453,147
"Elon",0.254341520009407,148
"Seton Hall",0.233615394127754,149
"Lamar University",0.219596308241004,150
"Little Rock",0.158267862647405,151
"Southern Ill.",0.132715605218669,152
"Yale",0.0609410641634921,153
"Davidson",0.0451935920912845,154
"Campbell",0.0140095181837181,155
"Morehead St.",-0.0183462179489753,156
"Middle Tenn.",-0.0554501890803507,157
"Bradley",-0.0759532080027653,158
"Southeast Mo. St.",-0.158382861519621,159
"Bethune-Cookman",-0.169761719437822,160
"Austin Peay",-0.176798104651683,161
"Arkansas St.",-0.18106080900038,162
"Rhode Island",-0.234813530932037,163
"UAB",-0.257469286477875,164
"Valparaiso",-0.258658634236738,165
"William & Mary",-0.273435143081806,166
"UTRGV",-0.282794990548555,167
"James Madison",-0.298983260195097,168
"San Jose St.",-0.305038846534543,169
"High Point",-0.340974915769815,170
"Northeastern",-0.347273110584789,171
"Butler",-0.350032749712892,172
"Kennesaw St.",-0.357514244291637,173
"Binghamton",-0.361920589550565,174
"Bryant",-0.409130606895321,175
"UMass Lowell",-0.447307451669157,176
"Eastern Mich.",-0.455723014642506,177
"Northwestern St.",-0.468312024665491,178
"Samford",-0.505106663649727,179
"Gardner-Webb",-0.543377919206325,180
"Northwestern",-0.547084513340744,181
"Navy",-0.567876250834808,182
"CSU Bakersfield",-0.59645325249706,183
"Miami (OH)",-0.602501132849383,184
"SFA",-0.621722996384392,185
"Appalachian St.",-0.650253201111516,186
"Milwaukee",-0.657526453017771,187
"Western Caro.",-0.667990115162396,188
"N.C. Central",-0.690256151452828,189
"Northern Colo.",-0.715355211872515,190
"Winthrop",-0.718929418174347,191
"Columbia",-0.727711034803484,192
"Marist",-0.773065849792162,193
"Brown",-0.798527249489991,194
"George Washington",-0.846636401404733,195
"Seattle U",-0.872258509761152,196
"Radford",-0.90391255170912,197
"Fairfield",-0.923807487530024,198
"Western Ky.",-0.930618037660641,199
"Pacific",-0.937731422194224,200
"USC Upstate",-0.942226191082274,201
"Nicholls St.",-0.976694041139703,202
"Portland",-1.01717382126742,203
"Lipscomb",-1.05720665820194,204
"Central Mich.",-1.05748211875636,205
"Georgia St.",-1.08324432759019,206
"Ohio",-1.11398370271409,207
"Dartmouth",-1.1992582539283,208
"Richmond",-1.23971464583805,209
"Florida A&M",-1.25329323263113,210
"Murray St.",-1.27710885038713,211
"Belmont",-1.28063287159722,212
"Stony Brook",-1.28354148658993,213
"VMI",-1.28628899411668,214
"Cornell",-1.31994656553082,215
"Monmouth",-1.34024033961875,216
"Fordham",-1.3548436498314,217
"Evansville",-1.39919396478852,218
"SIUE",-1.42490903676618,219
"Western Mich.",-1.4364958775217,220
"South Dakota St.",-1.50632763581955,221
"La.-Monroe",-1.52194663446495,222
"Central Conn. St.",-1.59787753823655,223
"Harvard",-1.64099734134461,224
"Army West Point",-1.66032678689531,225
"Utah Valley",-1.66601967880233,226
"Holy Cross",-1.76598432919291,227
"Presbyterian",-1.77141932946908,228
"Alabama St.",-1.77292560387195,229
"Niagara",-1.79364350864594,230
"Saint Joseph's",-1.79516536892566,231
"Jackson St.",-1.81398883254225,232
"Albany (NY)",-1.85420879746529,233
"Eastern Ky.",-1.87262663913453,234
"Penn",-1.91363427673144,235
"Toledo",-1.92586235748925,236
"Maine",-1.99549896972569,237
"Northern Ky.",-2.02075470144083,238
"Eastern Ill.",-2.02290730394789,239
"North Dakota St.",-2.09242997581814,240
"Incarnate Word",-2.10379319187062,241
"Abilene Christian",-2.13036580073721,242
"Quinnipiac",-2.16045830260844,243
"George Mason",-2.18799453105957,244
"Penn St.",-2.19616599805162,245
"Wagner",-2.31681716408549,246
"UT Martin",-2.34883315802326,247
"Hofstra",-2.35935410327576,248
"Lehigh",-2.40244970343674,249
"The Citadel",-2.41549907651363,250
"Dayton",-2.43486818554142,251
"Northern Ill.",-2.47482314743438,252
"Omaha",-2.48763465053407,253
"Hartford",-2.50073151978563,254
"Oakland",-2.53262808539382,255
"UNC Asheville",-2.70232540309307,256
"Princeton",-2.73258316566832,257
"Charleston So.",-2.80435354612249,258
"Massachusetts",-2.80873982223014,259
"N.C. A&T",-2.81178306344576,260
"Sacred Heart",-2.91758779337725,261
"Bucknell",-2.95842317513205,262
"Manhattan",-2.96044564337451,263
"St. Bonaventure",-2.96362481784809,264
"Western Ill.",-2.97177465233484,265
"Georgetown",-2.98813672955741,266
"UMBC",-3.0421331809612,267
"Iona",-3.10458454296394,268
"LIU Brooklyn",-3.24793917565246,269
"Bowling Green",-3.47062155852567,270
"Rider",-3.56853886146977,271
"Chicago St.",-3.57410559259614,272
"Towson",-3.71164299160206,273
"Villanova",-3.73560317663523,274
"Texas Southern",-3.8095441402149,275
"Siena",-3.88118297726691,276
"Youngstown St.",-3.94809373130919,277
"La Salle",-4.0789453962987,278
"NJIT",-4.106891713118,279
"Longwood",-4.12822153950161,280
"Grambling",-4.53390479656991,281
"Ark.-Pine Bluff",-4.81275282174321,282
"Southern U.",-4.81373095480993,283
"Lafayette",-4.94460810370451,284
"Norfolk St.",-5.18225911293408,285
"Fairleigh Dickinson",-5.21841549149067,286
"Savannah St.",-5.32367228318846,287
"Fort Wayne",-6.11832631994454,288
"Prairie View",-6.25048123007148,289
"Delaware St.",-6.47311352766262,290
"Alcorn",-6.6032680430786,291
"Alabama A&M",-7.10751958921341,292
"Coppin St.",-7.20642472539322,293
"Mt. St. Mary's",-7.21023422731921,294
"UMES",-8.11937463355802,295
"Mississippi Val.",-9.06001891453308,296
"Saint Peter's",-10.0339266204536,297
